Date,Country,Country_Geopolitical_Shock_Exposure,Country_Geo_Shock_Z,Country_Geo_Risk_Percentile,Country_Geo_Risk_Level
11/21/2019,United States,109.3497211,0.376511318,0.896712884,Extremely high
11/22/2019,United States,111.7630808,0.39245911,0.898565024,Extremely high
11/23/2019,United States,64.70883276,0.081518576,0.837253986,Extremely high
11/24/2019,United States,91.20724702,0.256623512,0.878710772,Extremely high
11/25/2019,United States,63.68657203,0.074763346,0.835194129,Extremely high
11/26/2019,United States,122.5337332,0.463632969,0.906492877,Extremely high
11/27/2019,United States,162.1190282,0.725217699,0.928078101,Extremely high
11/28/2019,United States,66.08786613,0.090631406,0.839954302,Extremely high
11/29/2019,United States,188.4195791,0.899015128,0.938879369,Extremely high
11/30/2019,United States,125.9964073,0.486514765,0.909089335,Extremely high
12/1/2019,United States,102.4512317,0.330925211,0.890602551,Extremely high
12/2/2019,United States,134.2005474,0.54072878,0.914334182,Extremely high
12/3/2019,United States,147.9206549,0.631393018,0.921846601,Extremely high
12/4/2019,United States,82.12945618,0.1966363,0.867165187,Extremely high
12/5/2019,United States,177.7340385,0.828403699,0.935192398,Extremely high
12/6/2019,United States,152.7687777,0.663430038,0.924131485,Extremely high
12/7/2019,United States,21.08216862,-0.206772042,0.623028855,High
12/8/2019,United States,64.57010173,0.080601824,0.836942411,Extremely high
12/9/2019,United States,142.6999216,0.59689374,0.919354001,Extremely high
12/10/2019,United States,131.4850197,0.522784223,0.912499351,Extremely high
12/11/2019,United States,167.8822628,0.763301895,0.930968825,Extremely high
12/12/2019,United States,168.3323453,0.766276098,0.931107303,Extremely high
12/13/2019,United States,171.6690903,0.788325739,0.932907514,Extremely high
12/14/2019,United States,83.24162009,0.203985623,0.868792301,Extremely high
12/15/2019,United States,83.3284195,0.204559204,0.868965398,Extremely high
12/16/2019,United States,163.5775991,0.734856123,0.928995517,Extremely high
12/17/2019,United States,141.8654252,0.59137928,0.919042426,Extremely high
12/18/2019,United States,205.2668373,1.01034398,0.94376071,Extremely high
12/19/2019,United States,118.9166031,0.439730507,0.904052206,Extremely high
12/20/2019,United States,85.30973722,0.217652007,0.87135414,Extremely high
12/21/2019,United States,90.91235308,0.254674815,0.87819148,Extremely high
12/22/2019,United States,43.7953729,-0.056680261,0.774679337,High
12/23/2019,United States,59.97895328,0.050262923,0.826504648,Extremely high
12/24/2019,United States,100.3162915,0.316817251,0.888265739,Extremely high
12/25/2019,United States,78.19174071,0.170615369,0.861383739,Extremely high
12/26/2019,United States,76.10663176,0.156836701,0.858406467,Extremely high
12/27/2019,United States,192.8377258,0.92821081,0.940402624,Extremely high
12/28/2019,United States,105.0091462,0.34782824,0.892818196,Extremely high
12/29/2019,United States,62.55339429,0.067275161,0.832822697,Extremely high
12/30/2019,United States,221.6697778,1.118736725,0.94814007,Extremely high
12/31/2019,United States,284.9249821,1.536735265,0.961797442,Extremely high
1/1/2020,United States,414.8658687,2.395401386,0.977272334,Extremely high
1/2/2020,United States,591.0934169,3.559935731,0.98750238,Extremely high
1/3/2020,United States,292.6633521,1.587871411,0.963026432,Extremely high
1/4/2020,United States,833.1048756,5.159178632,0.99375119,Extremely high
1/5/2020,United States,721.7562652,4.423372667,0.99188174,Extremely high
1/6/2020,United States,912.7756363,5.685653284,0.994737844,Extremely high
1/7/2020,United States,1497.671001,9.550717215,0.998182479,Extremely high
1/8/2020,United States,654.2115641,3.97702858,0.990098839,Extremely high
1/9/2020,United States,1428.862471,9.096021583,0.997992072,Extremely high
1/10/2020,United States,606.020041,3.658572786,0.988246698,Extremely high
1/11/2020,United States,435.2650075,2.530201523,0.97877828,Extremely high
1/12/2020,United States,636.562183,3.860399195,0.98937183,Extremely high
1/13/2020,United States,553.2221518,3.309677531,0.98565024,Extremely high
1/14/2020,United States,477.3343302,2.808201028,0.981686313,Extremely high
1/15/2020,United States,556.1426153,3.32897633,0.985823337,Extremely high
1/16/2020,United States,528.6695607,3.147430846,0.984680895,Extremely high
1/17/2020,United States,470.2593133,2.761448405,0.98127088,Extremely high
1/18/2020,United States,140.6155962,0.583120249,0.918298108,Extremely high
1/19/2020,United States,338.0055759,1.887498668,0.96941372,Extremely high
1/20/2020,United States,431.4779752,2.505176326,0.978432085,Extremely high
1/21/2020,United States,432.2477338,2.51026299,0.978484014,Extremely high
1/22/2020,United States,282.508982,1.520770025,0.961330079,Extremely high
1/23/2020,United States,337.1422128,1.881793453,0.969309861,Extremely high
1/24/2020,United States,188.2227187,0.897714249,0.938827439,Extremely high
1/25/2020,United States,119.9919673,0.446836652,0.904761905,Extremely high
1/26/2020,United States,84.50139217,0.212310359,0.870454034,Extremely high
1/27/2020,United States,260.8521284,1.377658746,0.957279604,Extremely high
1/28/2020,United States,360.7601897,2.037864088,0.972165966,Extremely high
1/29/2020,United States,170.3111899,0.779352559,0.932145886,Extremely high
1/30/2020,United States,681.2447598,4.15566742,0.990877776,Extremely high
1/31/2020,United States,267.9721418,1.424708712,0.958508594,Extremely high
2/1/2020,United States,134.980644,0.545883759,0.914888093,Extremely high
2/2/2020,United States,62.37614874,0.0661039,0.832424573,Extremely high
2/3/2020,United States,162.9781737,0.730895043,0.928632013,Extremely high
2/4/2020,United States,217.68555,1.092408434,0.947118797,Extremely high
2/5/2020,United States,103.6027441,0.338534554,0.891606515,Extremely high
2/6/2020,United States,137.381123,0.561746434,0.916584445,Extremely high
2/7/2020,United States,119.6967716,0.444885961,0.904554188,Extremely high
